Marca de Tiempo,Uso de Memoria (%)
11:23:53,83.6
11:23:54,83.7
11:23:56,83.7
11:23:57,83.7
11:23:58,83.7
11:23:59,83.7
11:24:00,83.7
11:24:01,83.7
11:24:02,83.7
11:24:03,83.7
11:24:04,83.7
11:24:05,83.7
11:24:06,83.7
11:24:07,83.7
11:24:08,83.7
11:24:09,83.7
11:24:10,83.7
11:24:11,83.7
11:24:12,83.7
11:24:13,83.7
11:24:14,83.7
11:24:15,83.7
11:24:16,83.7
11:24:17,83.7
11:24:18,83.7
11:24:19,83.6
11:24:20,83.6
11:24:21,84.0
11:24:22,84.0
11:24:23,84.1
11:24:24,84.1
11:24:25,84.1
11:24:26,84.1
11:24:27,84.1
11:24:28,84.1
11:24:29,84.1
11:24:30,84.1
11:24:31,84.1
11:24:32,84.1
11:24:33,84.1
11:24:34,84.1
11:24:35,84.1
11:24:36,84.1
11:24:37,84.2
11:24:38,84.1
11:24:39,84.0
11:24:40,84.2
11:24:41,84.2
11:24:42,84.2
11:24:43,84.2
11:24:44,84.2
11:24:45,84.2
11:24:46,84.1
11:24:47,84.2
11:24:48,84.5
11:24:49,84.5
11:24:50,84.4
11:24:51,84.5
11:24:52,84.5
11:24:53,84.5
11:24:54,84.5
11:24:55,84.5
11:24:56,87.8
11:24:57,87.5
11:24:58,87.6
11:24:59,87.7
11:25:00,87.5
11:25:01,84.4
11:25:02,84.6
11:25:03,83.4
11:25:04,83.3
11:25:05,83.3
11:25:06,83.3
11:25:07,83.8
11:25:08,83.8
11:25:09,83.7
11:25:10,83.8
11:25:11,86.8
11:25:12,87.9
11:25:13,83.9
11:25:14,83.6
11:25:15,83.7
11:25:16,83.7
11:25:17,84.0
11:25:18,84.0
11:25:19,83.7
11:25:20,83.7
11:25:21,83.6
11:25:22,83.9
11:25:23,83.9
11:25:24,84.3
11:25:25,84.3
11:25:26,84.6
11:25:27,84.5
11:25:28,84.6
11:25:29,84.7
11:25:31,85.0
11:25:32,85.1
11:25:33,85.0
11:25:34,84.9
11:25:35,84.7
11:25:36,84.9
11:25:37,84.9
11:25:38,85.0
11:25:39,85.0
11:25:40,85.0
11:25:41,85.0
11:25:42,84.8
11:25:43,84.8
11:25:44,84.7
11:25:45,84.6
11:25:46,84.7
11:25:47,86.6
11:25:48,86.7
11:25:49,88.0
11:25:50,88.9
11:25:51,88.6
11:25:52,89.1
11:25:53,90.5
11:25:54,90.5
11:25:55,90.4
11:25:56,90.2
11:25:57,89.4
11:25:58,89.3
11:25:59,90.0
11:26:00,90.8
11:26:01,89.0
11:26:02,89.4
11:26:03,88.9
